birth_band,universe_year,universe,n_child,n_women,n_women_weighted,probability,probability_weighted
1920-1929,1980,all_women,11,2142,42840,0.003492171145732117,0.003492171145732117
1920-1929,1980,all_women,12,3577,71540,0.005831697566892522,0.005831697566892522
1920-1929,1980,ever_married,0,58907,1178140,0.1007241358673814,0.1007241358673814
1920-1929,1980,ever_married,1,75261,1505220,0.12868757854779553,0.12868757854779553
1920-1929,1980,ever_married,2,143491,2869820,0.24535296280147392,0.24535296280147392
1920-1929,1980,ever_married,3,122090,2441800,0.208759735651936,0.208759735651936
1920-1929,1980,ever_married,4,78712,1574240,0.13458838817786214,0.13458838817786214
1920-1929,1980,ever_married,5,43416,868320,0.07423632306548,0.07423632306548
1920-1929,1980,ever_married,6,25011,500220,0.0427659083331196,0.0427659083331196
1920-1929,1980,ever_married,7,14145,282900,0.024186308958937135,0.024186308958937135
1920-1929,1980,ever_married,8,8911,178220,0.015236776184735866,0.015236776184735866
1920-1929,1980,ever_married,9,5619,112380,0.00960783810818436,0.00960783810818436
1920-1929,1980,ever_married,10,3626,72520,0.00620003932733164,0.00620003932733164
1920-1929,1980,ever_married,11,2120,42400,0.00362495404686792,0.00362495404686792
1920-1929,1980,ever_married,12,3526,70520,0.006029050928894475,0.006029050928894475
1920-1929,1990,all_women,0,76787,1515147,0.1313190910085919,0.13622721393824336
1920-1929,1990,all_women,1,71324,1380644,0.12197641328736387,0.12413401838933917
1920-1929,1990,all_women,2,137857,2635425,0.23575938543205824,0.23695166560947223
1920-1929,1990,all_women,3,116873,2214314,0.19987310512778417,0.19908947910958302
1920-1929,1990,all_women,4,76563,1431921,0.1309360121490724,0.12874434520852654
1920-1929,1990,all_women,5,42570,791120,0.07280208504350681,0.07112978047068905
1920-1929,1990,all_women,6,24391,450851,0.041712841350626605,0.04053611671426664
1920-1929,1990,all_women,7,14023,257340,0.023981762710009305,0.023137498364757706
1920-1929,1990,all_women,8,8885,164744,0.01519489136978055,0.014812170788076645
1920-1929,1990,all_women,9,5612,102970,0.009597493569747715,0.009258056293693561
1920-1929,1990,all_women,10,3856,70012,0.006594428938871559,0.006294794961970221
1920-1929,1990,all_women,11,2173,39548,0.003716206972035243,0.003555769741701398
1920-1929,1990,all_women,12,3822,68169,0.006536283040551634,0.006129090409680455
1920-1929,1990,ever_married,0,55506,1083768,0.09910670763824785,0.10205409949805755
1920-1929,1990,ever_married,1,70027,1353070,0.12503414794407058,0.12741319212953023
1920-1929,1990,ever_married,2,137221,2622173,0.245009936382157,0.24691954758132742
1920-1929,1990,ever_married,3,116466,2205640,0.2079516054443875,0.20769630033078634
1920-1929,1990,ever_married,4,76285,1426233,0.13620789089798827,0.1343026593232252
1920-1929,1990,ever_married,5,42350,786625,0.07561649314452124,0.07407333120894834
1920-1929,1990,ever_married,6,24228,447430,0.04325941902964488,0.04213269420984554
1920-1929,1990,ever_married,7,13909,255056,0.02483470609556425,0.024017603769050724
1920-1929,1990,ever_married,8,8792,162675,0.015698233948680772,0.015318454351712276
1920-1929,1990,ever_married,9,5565,102038,0.0099363821570073365,0.009608510497249223
1920-1929,1990,ever_married,10,3801,68821,0.006786736492144634,0.006480598413641866
1920-1929,1990,ever_married,11,2145,38925,0.003829926276151076,0.0036654116221939473
1920-1929,1990,ever_married,12,3768,67090,0.006727814549434617,0.006317597064431392
1930-1939,1990,all_women,0,59977,1207829,0.10293759246482476,0.10754548157323918
1930-1939,1990,all_women,1,54529,1083160,0.09358727478057303,0.09644491382544197
1930-1939,1990,all_women,2,130196,2526886,0.2234533702677747,0.22499473994305158
1930-1939,1990,all_women,3,131793,2531923,0.22619427653461574,0.22544323603867805
